NPN;construction;preposition;noun;pre_lemma;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
volta a volta;yes;a;volta;recitare;Una sua vanteria, immagino, di poter recitare;volta a volta;la parte del defensor fidei e dell'avvocato del diavolo, facendosi apologista ora dei carabinieri, ora dei lestofanti.;sg;_;_;succession/iteration/distributivity;modifier
punto a punto;no;a;punto;da;Dev'essere ristudiato il Radiobus «classico», ché la formula da;punto a punto;.;sg;PNPN;yes;distractor;_
prove su prove;yes;su;prova;fare;La squadra di tecnici della Telecom fa;prove su prove;per trovare l'inghippo.;pl;_;_;greater_plurality/accumulation;nominal
volta a volta;yes;a;volta;succedere;"Presentati in tavola questi piatti, ""tutte le conversazioni cessarono per la pienezza dei cuori...; e quando i piatti di servizio erano passati, vidi succedersi";volta a volta;"su tutte le fisionomie il fuoco del desiderio, l'estasi della gioia, il riposo perfetto della beatitudine"".";sg;_;_;succession/iteration/distributivity;modifier
settimana a settimana;yes;a;settimana;qualità;Se tu non dai la qualità;settimana a settimana;, purtroppo queste grandi piattaforme, con tutto il rispetto perché è un mercato, ti trattano non come un dipendente a tempo indeterminato ma come un contratto a ore.;sg;_;_;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;proporre;Piuttosto sulla capacità di costruirsi sul dialogo (e sul conflitto) con i luoghi, con le condizioni, con l'altro e di proporre,;volta a volta;a partire da essi, l'emersione di una verità: limitata, provvisoria e specifica quanto universale nelle sue intenzionalità.;sg;_;_;succession/iteration/distributivity;modifier
4 su 4;no;su;4;distanza;Nonostante un opaco Sandro Cherubini (solo 4 i punti del centro della Nazionale italiana), Sassari ha potuto contare su un infallibile Caine dalla lunga distanza (;4 su 4;dalla linea dei 3 punti e 22 i punti totali del britannico) e sui punti di Eveson (25) e Kohlstrom (16), dominatori della lunetta.;X;NumPNum;no;distractor;_
corpo a corpo;yes;a;corpo;faccia;Scoperto difronteal proprio nemico, faccia a faccia,;corpo a corpo;, il nostro scrittore si apprestava a scrivere un'altra pagina del suo romanzo, quello della vita.;sg;_;_;juxtaposition/contact;modifier
Sky su Sky;no;su;Sky;di;"È possibile acquistare entrambe le offerte ""Vodafone TV + NOW TV Intrattenimento"" e ""Vodafone TV Sport"" per avere accesso sia allo sport di";Sky su Sky;Sport Mix che all'entertaniment televisivo con il Ticket Intrattenimento di NOW TV.;X;proper_name_inglobation;no;distractor;_
palmo a palmo;yes;a;palmo;conquistare;Cominciando a conoscerti, che a Venezia ha aperto la Settimana della Critica e, ora, soggiorna sui nostri schermi conquistandosi;palmo a palmo;il favore del pubblico più attento.;sg;_;_;succession/iteration/distributivity;modifier
zona a zona;no;a;zona;da;Nel capoluogo lombardo l'andamento è diverso da;zona a zona;: in flessione ancora il centro, da via Torino a corso Garibaldi, mentre tengono le vie della moda, anche se è difficile registrare una tendenza in una fetta di mercato molto ristretta come questa.;sg;PNPN;yes;distractor;_
22 su 22;no;su;22;astenuto;"Nell' opposizione, tra i socialisti 90 hanno votato a favore mentre 56 si sono astenuti; nel gruppo dei repubblicani e socialisti, invece, i voti contrari sono stati";22 su 22;iscritti.;X;NumPNum;no;distractor;_
uomo a uomo;no;a;uomo;da;Ci siamo stretti con forza, nell'abbraccio da;uomo a uomo;che avevamo codificato la prima volta quando era venuto a prendermi al residence sulla collina.;sg;PNPN;yes;distractor;_
riunioni su riunioni;yes;su;riunione;susseguire;Naturalmente, come in ogni occupazione che si rispetti, si susseguono;riunioni su riunioni;.;pl;_;_;greater_plurality/accumulation;nominal
cuore a cuore;yes;a;cuore;te;Ci deve essere la possibilità di rapporti concreti: la mamma deve poterti portare a letto, darti il bacio della buona notte, imboccarti se è necessario, stare con te;cuore a cuore;.;sg;_;_;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;volata;Si profila dunque una volata;spalla a spalla;che probabilmente si concluderà con il ballottaggio del 23 ottobre prossimo.;sg;_;_;juxtaposition/contact;modifier
aria su aria;yes;su;aria;muovere;Il ventilatore non vale niente, muove;aria su aria;, sempre la stessa.;sg;_;_;greater_plurality/accumulation;nominal
2 su 2;no;su;3;e;Da segnalare anche un ottima prestazione di Cazzulo con 3 su 3 da due e;2 su 2;dalla lunetta, in momenti importanti della gara.;X;NumPNum;no;distractor;_
strada su strada;no;su;strada;di;In tal modo l'aquaplaning viene scongiurato e la tenuta di;strada su strada;bagnata e innevata è ottimale.;sg;N_extended;no;distractor;_
riunioni su riunioni;yes;su;riunione;svolgere;Non resta che aspettare: sempre dal municipio i bene informati fanno sapere che proprio in queste ore si stanno svolgendo;riunioni su riunioni;per risolvere la matassa e passare all'azione, ma sulla tempistica non si sbilancia nessuno.;pl;_;_;greater_plurality/accumulation;nominal
massacri a massacri;no;a;massacri;aggiungere;Sottintendeva: ne abbiamo abbastanza di questi generali che aggiungono;massacri a massacri;e, invece, dovrebbero trovare un terreno d'intesa concreto con le forze democratiche.;sg;verbal;yes;distractor;_
donne su donne;no;su;donna;di;Se la scorsa settimana ho scelto libri di;donne su donne; in questa puntata voglio cambiare completamente genere perché voglio proporvi quattro libri distopici, due pubblicati nel corso del '900 (che non sono i classici come 1984 di Orwell, Fahrenheit 451 di Bradbury, Il racconto dell'ancella della Atwood o La svastica sul sole di Dick) e due invece molto più recenti.;pl;thematic_target;no;distractor;_
uomo a uomo;no;a;uomo;da;Oppure senza i sì e i no della figura paterna: finiti i gesti di sostegno virile, i lanci in aria per gioco, le spiegazioni da;uomo a uomo;, il conforto dopo gli insuccessi.;sg;PNPN;yes;distractor;_
legni su legni;yes;su;legno;inchiodare;Le avanguardie, paradossali e inverosimili, enigmatiche, che mettono insieme una maniglia e la dalia paonazza di un dolore acuto, che lanciano fiamme su tesi materiali da imballaggio, che inchiodano;legni su legni;con chiodi di già arrugginiti, di già tutti ritorti, rimediati, e che incollano, coi liquami dei colori industriali, cortecce che di una guerra hanno visto di striscio un fuggiasco che correva slacciandosi la corazzetta coi muscoli sbalzati... ecco chi scrive la storia: chi raccatta gli aneddoti, ci sputa dietro e te li appiccica in fronte, e taglia e cuce, senza badare per niente all'armonia, al bell'insieme... cosa significa?;pl;_;_;greater_plurality/accumulation;nominal
TV su TV;no;su;TV;diretta;Tutta la cerimonia finale verrá trasmessa in diretta;TV su TV;3 dalle 18.40 alle 20.15 e su TV 1 e TV 2 dalle 19.30 alle 20.00.;sg;proper_name_inglobation;no;distractor;_
corpo a corpo;yes;a;corpo;combattere;Ma anche questa volta per occupare la Città Santa devono combattere;corpo a corpo;con i palestinesi per annientare la resistenza araba.;sg;_;_;juxtaposition/contact;modifier
4 su 4;no;su;4;estivo;Risultato, al ritorno dopo l' operazione estiva,;4 su 4;da dove conta tre.;X;NumPNum;no;distractor;_
pagine su pagine;yes;su;pagina;divorare;Perché c'è chi riesce a fartelo drizzare, chi riesce a farti ridere, chi a farti passare la notte divorando;pagine su pagine;per capire chi era l'agente segreto che cagava rubini, chi riesce a farti venire appetito e a farti tornare a Bangkok quando invece sei a casa tua, ad ognuno la sua specialità.;pl;_;_;greater_plurality/accumulation;nominal
esami su esami;yes;su;esame;fare;Inoltre, sono due anni che faccio;esami su esami;al colon e che dovrei farmi operare cominciando dall'intestino, adesso ho preso la decisione e devo comunicarla di persona ai Civili di Brescia: ci convivrò.;pl;_;_;greater_plurality/accumulation;nominal
interessi su interessi;no;su;interesse;mio;Io che sono fiorentina, forse avrei qualche motivo in più per pensarlo, ma preferisco spostare i miei;interessi su interessi;"più ""puliti"" perchè il calcio sicuramente non lo è.";sg;N_extended;no;;_
Microsoft su Microsoft;no;su;Microsoft;e;È accordo di licenza tra PalmOne e;Microsoft su Microsoft;Exchange.;X;proper_name_inglobation;no;distractor;_
volta a volta;yes;a;volta;politico;Nelle regole probatorie legali, infatti si riscontra un fondamento che può essere sia epistemologico che politico,;volta a volta;"prevalendo l'esigenza di determinare esplicitamente un metodo per ""guidare il giudice alla ricerca"" (art. 103 197 c. p. p.).";sg;_;_;succession/iteration/distributivity;modifier
corpo a corpo;yes;a;corpo;affrontare;Mai prima quei guerrieri avevano affrontato;corpo a corpo;le legioni e non pareva loro vero di sfogare la rabbia a lungo compressa su quei reparti in disfatta, in preda al panico e alla confusione.;sg;_;_;juxtaposition/contact;modifier
errori su errori;yes;su;errore;accumulare;E, al contrario, il mister argentino continua ad accumulare;errori su errori;, cambiando ogni settimana le carte in tavola, senza trovare, naturalmente, il rimedio.;pl;_;_;greater_plurality/accumulation;nominal
zona a zona;no;a;zona;da;La malaria è diffusa in tutta la fascia compresa fra i due tropici con variazioni da;zona a zona;a seconda del tipo di parassita (sono 4 in tutto: il più pericoloso è il cosiddetto falciparum, quello che ha sviluppato più resistenze).;sg;PNPN;yes;distractor;_
ritardi su ritardi;yes;su;ritardo;accumulare;Bene il raddoppio Mortara, unica linea ancora a singolo binario in città, capacità limitata e treni affollati che accumulano;ritardi su ritardi;a causa degli incroci.;pl;_;_;greater_plurality/accumulation;nominal
100 su 100;no;su;100;di;Delle 20 regioni prese in esame da un gruppo di esperti in comunicazione, sociologia, diritti del cittadino, il portale della Regione Emilia-Romagna risulta primo classificato con un risultato di;100 su 100;per quanto riguarda il rapporto amministrazione-cittadini, davanti a Veneto (89/100) e Liguria (80/100).;X;NumPNum;no;distractor;_
donna a donna;no;a;donna;da;Quali sono i fattori che determinano queste differenze da;donna a donna;?;sg;PNPN;yes;distractor;_
corpo a corpo;yes;a;corpo;combattere;Qualche scettico si domanderà come mai il comando americano mandi un preziosissimo marconista navajo a combattere;corpo a corpo;contro il nemico, con il rischio che lo catturino.;sg;_;_;juxtaposition/contact;modifier
Italia su Italia;no;su;Italia;in;Ricordiamo che Futurama è partita in America sul network FOX il 28 marzo 1999, ed ha esordito in;Italia su Italia;1 in prima serata alle 20.45 il 6 gennaio 2000.;sg;proper_name_inglobation;no;distractor;_
provincia a provincia;no;a;provincia;da;Ma si provi a immaginare un Paese in cui le norme antinquinamento differiscano da zona a zona, da;provincia a provincia;, magari a difesa di interessi particolari.;sg;PNPN;yes;distractor;_
Fede su Fede;no;su;Fede;di;La Dottrina della Chiesa, la Nota della Congregazione per la Dottrina della;Fede su Fede;e Politica, l' introduzione a questa di ... ;sg;proper_name_inglobation;no;distractor;_
leghe su leghe;yes;su;lega;vuoto;Guardia Grigia e Segno di Ghiaccio anche, non ho dubbi, e abbiamo altri quattordici fortilizi ancora vuoti,;leghe su leghe;di Barriera ancora non sorvegliate e indifese.;pl;_;_;greater_plurality/accumulation;nominal
10 su 10;no;su;10;un;E mentre Berlusconi si assegna un;10 su 10;,gli analisti affermano che il governo ha sprecato il suo primo anno.;X;NumPNum;no;distractor;_
corpo a corpo;yes;a;corpo;combattimento;James Buck aveva fatto parte delle SAS, le forze aeree speciali britanniche, e, tra le altre cose, era un esperto di combattimenti;corpo a corpo;e di armi bianche.;sg;_;_;juxtaposition/contact;modifier
18 su 18;no;su;18;compatto;La serie A ha votato compatta,;18 su 18;- afferma Galliani - per il ' lodo' che ha preso il mio nome, che prevedeva 3 retrocessioni dalla A e 5 promozioni dalla B, e dall' anno prossimo a regime 3 retrocessioni e 3 promozioni.;X;NumPNum;no;distractor;_
Christine su Christine;no;su;Christine;cantare;"Nel 1969 anche i Nomadi si dedicano al ""trans"", cantano";Christine su Christine;Jorgensen, una transessuale famosa dal 1952, fotografa, attrice e cantante.;X;proper_name_inglobation;no;distractor;_
palmo a palmo;yes;a;palmo;esplorare;Non venendo, l'italiano aveva agito in modo tanto ragionevole quanto scortese, non si sarebbe visto nulla, ci si sarebbe dovuti accontentare di esplorare;palmo a palmo;alcuni quadri con la lampadina tascabile di K.;sg;_;_;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;che;Moltitudine di prostitute e colori sgargianti, stuoli d'artisti e piaceri del cibo, mio Ludovico, servono a celare spie e sbirri, giudici e inquisitori che;palmo a palmo;scrutano incessanti.;sg;_;_;succession/iteration/distributivity;modifier
80 su 80;no;su;80;prendere;"Alla risposta: ""dovevate o dovevano studiare di più"" noi replichiamo in questo modo: ""anche se tutti gli studenti avessero preso";80 su 80;comunque tantissimi sarebbero tornati a casa!;X;NumPNum;no;distractor;_
zona a zona;no;a;zona;da;Quest'ultima si è frammentata in una pluralità di dialetti che talora, come a esempio a Bologna, variano da;zona a zona;della città.;sg;PNPN;yes;distractor;_
24 su 24;no;su;24;vicinanza;Infatti la scommessa era quella dell' accompagnamento educativo, la presenza, la vicinanza;24 su 24;ore per tot mesi verso chi ne aveva bisogno.;X;NumPNum;no;distractor;_
uomini su uomini;no;su;uomo;di;Perché ogni governo è di;uomini su uomini;.;pl;thematic_target;no;distractor;_
donna a donna;no;a;donna;da;Gli parlò come si potrebbe parlare da;donna a donna;, avvertendo un senso di complicità davvero strano verso una persona che, in fondo, conosceva solo superficialmente da pochi mesi.;sg;PNPN;yes;distractor;_
riunioni su riunioni;yes;su;riunione;fare;La situazione era diventata assurda: facevo;riunioni su riunioni;con colleghe e genitori sul modo di migliorare il rapporto educativo coi bambini, individuare le strategie per seguirli meglio... e intanto i miei erano soli.;pl;_;_;greater_plurality/accumulation;nominal
bambino a bambino;no;a;bambino;da;Le difficoltà e i successi ovviamente variano da;bambino a bambino;e da un ordine di scuola all'altro anche in base alle caratteristiche e le modalità organizzative dei vari tipi di scuola.;sg;PNPN;yes;distractor;_
uomo a uomo;no;a;uomo;da;"""È solo una questione di tempo"", secondo Webster, e il virus H5N1, prima o poi, farà il salto della specie, propagandosi da";uomo a uomo;.;sg;PNPN;yes;distractor;_
Saturno su Saturno;no;su;Saturno;di;Con il transito di ritorno di ;Saturno su Saturno;"natale ti potrebbe creare solo una certa ""accettazione"" e crescita nel campo descritto.";X;N_extended;no;;_
Camerino su Camerino;no;su;Camerino;di;Interventi Regione ed Università di;Camerino su Camerino;.;X;proper_name_inglobation;no;distractor;_
19 su 19;no;su;19;scioperare;A Lecco si è registrato una adesione del 100 per cento (hanno scioperato;19 su 19;) così come al tribunale di sorveglianza di Milano (9 su 9).;X;NumPNum;no;distractor;_
Apple su Apple;no;su;Apple;di;Anche Noi di Zoleounge.it stiamo promuovendo il Back Friday di Apple e se siete in procinto di acquistare con gli sconti del BlackFriday 2010 di;Apple su Apple;Italia, iTunes Store o su App Store e volete aiutare Zoelounge.it senza peraltro spendere una lira in più, potreste prendere in considerazione l'idea di cliccare su uno dei banner presenti in questa pagina o nei banner presenti nella sidebar.;X;proper_name_inglobation;no;distractor;_
prove su prove;yes;su;prova;portare;D'altronde da qualche anno l'attivista Jeff Ballinger, fondatore del gruppo Press for Change, porta;prove su prove;circa le scandalose differenze fra le remunerazioni dei lavoratori indonesiani della catena Nike (poco più di un dollaro al giorno) e quelle dei campioni della pubblicità a cui la multinazionale affida la propria immagine.;pl;_;_;greater_plurality/accumulation;nominal
24 su 24;no;su;24;trasmettere;"Un ospedale di Pittsburgh fornisce addirittura una stazione televisiva chiamata ""Humor Helps Healing"" (l'umorismo aiuta a guarire), che trasmette";24 su 24;", mentre in South Carolina, i ""terapisti dell' umorismo"" hanno formato la Carolina Humour and Healing Association (HaHa).";X;NumPNum;no;distractor;_
Sciascia su Sciascia;no;su;Sciascia;di;Ha curato l'edizione del Quaderno dell'Associazione Amici di;Sciascia su Sciascia;eretico del genere giallo (La vita felice, 2006) e la prefazione dell'edizione italiana de Il controllo della parola di André Schiffrin (Bollati Boringhieri, 2006).;X;proper_name_inglobation;no;distractor;_
volta a volta;yes;a;volta;cui;Mangi, beva, dorma, suoni, lavori o vada a spasso con la sua splendida ragazza tunisina, qualunque cosa faccia, non sopporta di essere distratto da ciò in cui,;volta a volta;, è impegnato.;sg;_;_;succession/iteration/distributivity;modifier
uomo a uomo;no;a;uomo;ovunque;" centinaia di cittadini sono stati contagiati quando era chiaro che il patogeno si trasmetteva da""";uomo a uomo;, ma era vietato dirlo per preservare la stabilità.;sg;PNPN;yes;distractor;_
Roma su Roma;no;su;Roma;da;E se io mando un messaggio da;Roma su Roma;dovrei essere tutelato dalle leggi italiane, rispetto alle intenzioni piratesche delle aziende Usa.;X;thematic_target;no;distractor;_
fogli su fogli;yes;su;foglio;riempire;Dopo una giornata trascorsa in giro con me, riempie;fogli su fogli;.;pl;_;_;greater_plurality/accumulation;nominal
uomini su uomini;no;su;uomo;di;Sono sempre segno di un'ingiustizia regnante, di oppressione di;uomini su uomini;.;pl;thematic_target;no;distractor;_
2 su 2;no;su;2;in;Al Sud il risultato non è meno clamoroso: il centrosinistra è forza di governo in 4 province su 4 in Abruzzo, in 5 su 5 in Puglia, in;2 su 2;in Basilicata, in 4 su 5 in Campania, in 3 su 5 in Calabria.;X;NumPNum;no;distractor;_
film a film;no;a;film;da;Evidentemente gli esiti stilistici sono diversi da;film a film;.;sg;PNPN;yes;distractor;_
volta a volta;yes;a;volta;soluzione;D'altro canto, non sono soltanto gli interventi normativi, tanto meno quelli che continuino a essere adottati, prima o a prescindere da effettive applicazioni delle soluzioni;volta a volta;accolte, a poter dare risposta alle necessità dell'amministrazione del settore.;sg;_;_;succession/iteration/distributivity;modifier
satellite su satellite;no;su;satellite;via;Accesso ad alta velocità al Backbone Internet Europeo e connettività a banda larga, utilizzando tecnologia satellitare bidirezionale mediante canale di comunicazione bidirezionale via;satellite su satellite;geostazionario opportunamente posizionato, e connessione via fibra al Backbone Internet Europeo, con relativa manutenzione ed assistenza tecnica.;sg;N_extended;no;distractor;_
terreni su terreni;yes;su;terreno;espropriare;Il Comune di Roma, intanto, come aveva cominciato a fare a partire dagli anni Sessanta, gli espropria;terreni su terreni;a Rebibbia, Casal de' Pazzi e Primavalle, mentre le varianti al piano regolatore fanno crollare il valore di altri lotti.;pl;_;_;greater_plurality/accumulation;nominal
indizi su indizi;yes;su;indizio;affastellare;Gli inquirenti romani stanno affastellando;indizi su indizi;, controlli, visure camerali, che confermerebbero l'ascesa delle 'ndrine in questo angolo esclusivo di Roma Nord.;pl;_;_;greater_plurality/accumulation;nominal
Berlinguer su Berlinguer;no;su;Berlinguer;di;Si potrebbe provare A ragionare di;Berlinguer su Berlinguer;a partire da alcuni grandi punti del suo pensiero.;X;thematic_target;no;distractor;_
Pisa su Pisa;no;su;Pisa;di;Martedì sera Umberto ha avuto una trovata che per poco non ha reso innocuo il pericolante edificio di insulti che ogni puntata pende su di lui, come la Torre di;Pisa su Pisa;.;X;proper_name_inglobation;no;distractor;_
prova su prova;yes;su;prova;accusa;Per fortuna, conosceva la lingua così bene che capì ogni cosa, e si potette difendere, parola su parola, accusa su accusa ,;prova su prova;, senza perdersi d'animo.;sg;_;_;succession/iteration/distributivity;modifier
uomo a uomo;no;a;uomo;da;Zika, inoltre, si rivelò molto più complicato di Ebola: mentre Ebola si diffonde quasi esclusivamente da;uomo a uomo;, Zika viene perlopiù trasmesso attraverso punture di zanzara.;sg;PNPN;yes;distractor;_
riunioni su riunioni;yes;su;riunione;fare;Come sempre accade, appena un matrimonio va a rotoli si inizia a lavorare finoa tardi, a fare;riunioni su riunioni;, viaggi improvvisi.;pl;_;_;greater_plurality/accumulation;nominal
paziente a paziente;no;a;paziente;da;Il recupero totale dall'intervento di cataratta, normalmente, avviene nel giro di 8 settimane, benché possa comunque esservi una certa variabilità da;paziente a paziente;.;sg;PNPN;yes;distractor;_
scuola a scuola;no;a;scuola;da;In questo modo si eliminerebbero anche le disparità esistenti nella qualità dell'istruzione fornita da;scuola a scuola;.;sg;PNPN;yes;distractor;_
tronco su tronco;yes;su;tronco;ricostruire;Les fermes de Marie, il più grande, è un insieme di chalet ricostruiti;tronco su tronco;ai margini del paese.;sg;_;_;succession/iteration/distributivity;modifier
spalla a spalla;yes;a;spalla;mentre;Questi pensieri mi agitavano mentre;spalla a spalla;con i miei compagni muti attendevo i colpi di fischietto degli ufficiali per superare il parapetto e inoltrarmi in quell'orribile scabro e tormentato deserto innanzia me.;sg;_;_;juxtaposition/contact;modifier
docce su docce;yes;su;doccia;fare;Cioè: quando passavo davanti al monitor si accendevano tutte le lampadine, e questo significa che dovevo fare;docce su docce;": per ""purificarmi"".";pl;_;_;greater_plurality/accumulation;nominal
4 su 4;no;su;4;essere;Con quella di oggi, sono;4 su 4;le vittorie di Prada nei testa a testa con l'imbarcazione della bionda Dawn Riley: anche se nelle previsioni, il successo era oggi tutt'altro che scontato.;X;NumPNum;no;distractor;_
denunce su denunce;yes;su;denuncia;trattamento;Così come gli ingegneri e i geometri che lavorano per noi: anche tra loro, più d'uno ha subito il mio stesso trattamento,;denunce su denunce;.;pl;_;_;greater_plurality/accumulation;nominal
abbondanza ad abbondanza;no;a;abbondanza;aggiungere;Anche per i Benetton il miliardo messo a disposizione dalla Cassa, con l'astensione in consiglio di Viesti e di un altro componente, sembra aggiungere;abbondanza ad abbondanza;.;sg;verbal;yes;distractor;_
Arezzo su Arezzo;no;su;Arezzo;di;La posizione del Comune di;Arezzo su Arezzo;Fiere è chiarissima.;X;proper_name_inglobation;no;distractor;_
fogli su fogli;yes;su;foglio;strappare;Un rumore molto forte, comese qualcuno fosse stato impegnato a strappare;fogli su fogli;di lamiera dal centro della macchina.;pl;_;_;greater_plurality/accumulation;nominal
spalla a spalla;yes;a;spalla;sfrenato;Alessandro diede il segnale e tutti i destrieri si lanciarono al galoppo sfrenato,;spalla a spalla;, testa a testa nella pianura deserta: sembravano furie infernali partorite dall'Ade.;sg;_;_;juxtaposition/contact;modifier
rovescio su rovescio;yes;su;rovescio;assassino;Sul sei pari abbiamo uno scambio assassino,;rovescio su rovescio;, e io sono un fascio di nervi scossi.;sg;_;_;succession/iteration/distributivity;modifier
corpo a corpo;yes;a;corpo;legare;"Dodici fra loro, originari di Lebbeke, si erano rifugiati nella fattoria di Ottavio Vernulst; essi furono legati";corpo a corpo;e condotti dietro alla fattoria, dove vennero massacrati.;sg;_;_;juxtaposition/contact;modifier
uomini su uomini;no;su;uomo;di;E quanto andiamo studiando ci insegna che le società organizzate, precedenti a quelle classiste, precedenti quindi alla comparsa della schiavitù e di ogni sfruttamento di;uomini su uomini;, accumulavano una straordinaria quantità di energia e l'applicavano alla modifica dell'ambiente (edifici monumentali, infrastrutture, produzione materiale) senza spezzarne l'equilibrio.;pl;thematic_target;no;distractor;_
uomini su uomini;no;su;uomo;di;Ne restasse fuori anche uno solo, anche una sola testa, su cosa potrebbe mai fondarsi una nazione se non sul dominio di;uomini su uomini;?;pl;thematic_target;no;distractor;_
uomo a uomo;no;a;uomo;da;"Questa trasformazione, ipotizzano gli studiosi, ""potrebbe essere dovuta a variazioni o nelle capacità del virus di trasmettersi da";uomo a uomo;", o nelle caratteristiche della popolazione prevalentemente infettata"".";sg;PNPN;yes;distractor;_
bozzi su bozzi;yes;su;bozzo;chiamare;"""Da queste parti la chiamano";bozzi su bozzi;""", ridimensionò subito la faccenda.";pl;_;_;greater_plurality/accumulation;nominal
errori su errori;yes;su;errore;accumulare;Io, la donna, gli ho impedito di raccogliere alla «piccola della porta accanto» la borsetta (di noi due non ero «io» la più anziana?), io ho accumulato;errori su errori;, finché lo sguardo della piccola diventò prima incredulo, e poi gelido.;pl;_;_;greater_plurality/accumulation;nominal
spalla a spalla;yes;a;spalla;combattere;Era per vendicarsi di una condanna ingiusta che aveva combattuto;spalla a spalla;con quegli stessi Uberti che a Campaldino militavano tra le file nemiche o quella alleanza, che soltanto pochi mesi prima gli sarebbe sembrata contro natura, aveva una più profonda e nobile giustificazione?;sg;_;_;juxtaposition/contact;modifier
110 su 110;no;su;110;con;Luciano Fonzi esprime il seguente giudizio: Laureato in Scienze Biologiche presso la Università di Siena nel 1969 con;110 su 110;e lode.;X;NumPNum;no;distractor;_
palmo a palmo;yes;a;palmo;ispezionare;Tutta l'area è stata immediatamente interdetta e i carabinieri la stanno ispezionando;palmo a palmo;alla ricerca di altri indizi utili all'indagine.;sg;_;_;succession/iteration/distributivity;modifier
spalla a spalla;yes;a;spalla;fila;Poi, furono costretti a fermarsi quando un contingente delle truppe di Sua Maestà Tenebrosa, in fila;spalla a spalla;, arrivò a passo di marcia lungo la strada.;sg;_;_;juxtaposition/contact;modifier
61 su 61;no;su;61;di;Certo le ultime elezioni europee hanno segnato una sconfitta di Berlusconi, il cappotto del;61 su 61;(i seggi del parlamento regionale conquistati dalla destra nelle ultime amministrative) appartiene alla memoria del passato.;X;NumPNum;no;distractor;_
uomini su uomini;no;su;uomo;di;"Lo stato è così dunque ""un rapporto di potere di";uomini su uomini;", fondato sul mezzo dell'uso della forza legittima"" (si veda ""Economia e Società"", Milano 1961).";pl;thematic_target;no;distractor;_
50 su 50;no;su;50;di;Fatta la prova di mercoledì, la domenica uscivano i risultati che dichiaravano che io avevo preso un punteggio di;50 su 50;!!!!! classificandomi primo insieme ad altri ventisette.;X;NumPNum;no;distractor;_
informazioni su informazioni;yes;su;informazione;addosso;Di converso, e questo è il secondo aspetto, ciò significa che ti si rovesciano addosso;informazioni su informazioni;, sempre di più, col rischio che, superando certi livelli, tutto si confonde e perde di valore.;pl;_;_;greater_plurality/accumulation;nominal
uomo a uomo;no;a;uomo;da;Al momento risulta che il contagio umano da influenza aviaria avviene con il contatto diretto con animali infetti, non si hanno prove di una trasmissione del virus da;uomo a uomo;.;sg;PNPN;yes;distractor;_
paziente a paziente;no;a;paziente;da;Le risposte al farmaco variano da;paziente a paziente;: può senz'altro prolungare la sopravvivenza ma non è detto che guarisca;sg;PNPN;yes;distractor;_
crosta su crosta;yes;su;crosta;successivo;Dall'alto del Forte capisco il rinnovo degli strati successivi,;crosta su crosta;.;sg;_;_;succession/iteration/distributivity;modifier
grigio su grigio;no;su;grigio;bicolore;Innanzitutto, sono stati introdotti nuovi colori per la plancia bicolore;grigio su grigio;e blu su grigio.;sg;thematic_target;no;distractor;_
punto a punto;no;a;punto;da;Dopo essersi sentito soddisfatto del numero dei puntini, il ragazzo univa il tutto in una sola linea, da;punto a punto;.;sg;PNPN;yes;distractor;_
muso a muso;no;a;muso;a;La sua resistenza ci portò a;muso a muso;.;sg;PNPN;yes;distractor;_
tornanti su tornanti;yes;su;tornante;fango;Si viaggia tra sassi e massi, guadi e fango,;tornanti su tornanti;", si sale dai 3000 ai quasi 5000 metri in un attimo; gli spazi gradualmente si allargano, sono quasi in cima, fa freddo, ha nevicato da poco.";pl;_;_;greater_plurality/accumulation;nominal
mistero a mistero;no;a;mistero;aggiungere;Due elementi, ritornati fino a noi dalla profondità del tempo insieme a Oetzi e alle sue povere cose, forse spiegano in parte la sua fine, forse aggiungono;mistero a mistero;.;sg;verbal;yes;distractor;_
donne su donne;no;su;donna;ponderare;"La vedo più come una presa di posizione forte, anche piuttosto ponderata; il fatto che nel filmato ci sia principalmente violenza di";donne su donne;ha abilmente evitato che eventuali polemiche di genere potessero sviare dalla violenza come concetto assoluto.;pl;thematic_target;no;distractor;_
uomo a uomo;no;a;uomo;da;Questa malattia può dare luogo a febbri emorragiche anche fatali e ha una caratteristica particolare: non si trasmette da;uomo a uomo;, ma viene trasmessa da una zanzara, che prima punge un malato e poi uno sano.;sg;PNPN;yes;distractor;_
file su file;yes;su;file;vedere;E d'improvviso ci sembrò di vedere;file su file;di formiche del miele col corpo striato e luccicante, che nelle loro celle sotto le radici del mulga traboccavano di nettare.;pl;_;_;greater_plurality/accumulation;nominal
54 su 54;no;su;54;disponibile;La formazione pugliese è, assieme al Torino, la squadra che ha usufruito fino a questo momento di tutti i cambi disponibili;54 su 54;.;X;NumPNum;no;distractor;_
domande su domande;yes;su;domanda;fare;E sa anche che se presenta operazioni un po' bislacche, in consiglio può trovare anche chi comincerà a far;domande su domande;.;pl;_;_;greater_plurality/accumulation;nominal
